date	meg_whitman	tim_cook	satya_nadella	marissa_mayer	larry_page	john_donahoe	mark_zuckerberg	dick_costolo	event
172			10.92	20.26		-24.83
173	-13.22			19.34	-18.83	-23.72	-47.55	-14.12
174	-12.95	12.47			-17.18		-47.96	-10.77	{"person":"dick_costolo", "desc":"Shares Drop on User Growth Worries","link":"http://www.cnet.com/news/twitter-shares-hammered-as-user-growth-keeps-slowing/"}
175	-13.79	13.99	9.71		-16.97		-48.4	-18.63
176	-14.02	11.97	9.54	21.53	-17.39	-19.81	-48.88	-18.64
177	-13.67	11.3	8.3		-7.57	-24.24	-51.03	-18.71
178		11.59	9.54	21.94		-24.85
179			9.21	22.3		-25.4
180	-14.84			22.73	-7.17	-22.76	-48.83	-19.55
181	-15.98				-8.02		-49.01	-32.95
182	-17.84	14.54	9.72		-8.73		-41.84	-35.25
183	-19.03	14.74	9.77	22.79	-7.6	-14.19	-42.14	-32.23
184	-17.04	14.56	8.84		-6.7	-28.08	-38.86	-32.38	{"person":"meg_whitman", "desc":"Cuts 27K Employees","link":"http://www.wired.com/2012/05/hp-cuts-27000-employees-looks-to-cloud-and-data-analytics-for-growth/"}
185		15.63	10.6	20.21		-18.44
186			9.62	18.86		-20.45
187	-17.6			19.3	-6.05	-25.84	-41.8	-29.64
188	-18.47	16.28			-5.42		-41.36	-30.55
189	-18.21	17.6	8.86		-5.24		-38.47	-31.18
190	-18.2	19.93	9.97	16.64	-4.71	-23.33		-30.82
191	-16.98	19.49	10.25	18.47	-5.5	-23.12	-40.1	-32.25
192		20.16	10.26	15.96		-28.5
193			11.26	13.34		-22.02
194	-17.56			14.99	-4.61	-27.03	-35.48	-33.22
195	-18.88	18.55			-3.96		-34.76	-33.38
196	-18.31	19.52	10.97		-3.68		-34.76	-33.98
197	-19.2	18.58	11.04	16.12	-2.53	-31.59	-32.84	-34.82	{"person":"tim_cook", "desc":"3rd Gen Apple TV","link":"http://www.macworld.com/article/1165734/apple_tv_third_generation_what_you_need_to_know.html"}
198		19.7	10.14	16.91	-1.35	-23.27	-31.13	-37.4
199		19.67	10.66	19.95		-17.84
200			10.33	19.6		-32.69
201	-18.21			18.99	-0.08	-34.03	-33.31
202	-16.21	21.37			-0.34		-32.15	-38.14
203	-16.41	22.6	9.93		-0.52		-31	-31.33
204	-11.53	27.2	9.19		-2.7	-34.6	-33.2	-31.24
205	-12.12	25.68	8.9	17.96	-3.01	-31.24	-31.68	-34.31
206		25.72	9.21	18.81		-30.59
207			10.01	21.66		-29.33
208	-12.38			20.49	-5.91	-25.56	-30.99	-35.63
209	-12.5	28.09			-7.84		-31.45	-33.9
210	-11.43	29.31			-8.41		-32.24	-33.52
211	-11.51	28.52	8.76	19.97	-8.49	-25.43	-30.12	-32.23
212	-12.02	28.34	9.05	16.39	-9.55	-33.57	-33.19	-33.74
213		27.45	10.03	19.3		-27.78
214			11.1	16.4		-32.69
215	-12			15.81	-8.36	-32.56	-34.21	-31.71
216	-11.12	27.51			-8.48		-32.83	-29.95
217	-11.73	29.18	12.23		-8.5		-33.33	-29.52
218	-12.19	30.48	13.92	15.08	-7.27	-33.29	-33.59	-26.46
219	-13.15	29.24	13.27	15.49	-8.33	-36.41	-35.64	-26.46
220		27.22	13.52	16.72		-29.37
221			13.39	19.61		-30.99
222	-12.46			19.59	-9.22	-36.09	-33.81	-24.41
223	-11.13	30.09			-9.44			-24.69
224	-11.12	32.58	13.49		-9.51		-34.35	-23.72	{"person":"satya_nadella", "desc":"Acquires Minecraft","link":"http://www.wsj.com/articles/microsoft-agrees-to-acquire-creator-of-minecraft-1410786190"}
225	-12.82	33.49	13.91	21.99	-9.76	-33.81	-35.4	-23.34
226	-11.58	34.95	13.09	24.02	-8.7	-34.6	-35.19	-22.82
227			12.71	23.26		-34.35
228			15.08	23.37		-41.9
229	-13.08			22.69		-31.54	-34.72	-22.28
